929252975,年俊明,6,4,2500
279282434,郏奇邃,5,6,3000
412938168,终丽,19,4,2500
772471094,厉圣杰,33,4,2500
980857935,竺平,2,2,4500
819030168,郭熠彤,10,4,4000
497092410,公冶旭尧,30,8,3000
408667713,雍健柏,28,6,4500
300214939,邹炫明,29,5,2500
503637249,荀晋鹏,24,5,4000
172429465,羿平,24,5,4500
765174124,金阳曦,25,6,3000
340992928,翁　嘉懿,2,5,4500
486471960,申天佑,21,3,3000
475958156,孙杰,33,3,3000
445495674,梁俊明,15,2,2500
764821878,余修为,13,3,4000
333986232,喻季同,13,6,4500
453535715,胡晗昱,3,6,3000
451363790,米君平,17,6,4500
815820473,钦力勤,11,8,3000
756109947,倪鸿涛,3,5,4500
904482457,文远航,18,7,2500
534205681,莘楷瑞,8,7,3000
939501857,尉迟强,16,2,3000
625296671,陆修杰,14,4,3000
72463932,益勇,10,5,3000
702803495,蓟娟,23,5,4000
44220326,郁熠彤,14,6,2500
753917058,索荣轩,9,7,3000
915665955,韦国源,9,5,4500
978421962,费晗昱,34,2,2500
327735850,苏晗昱,7,6,4500
510047218,卫彭泽,7,2,3000
348078293,倪越彬,21,2,2500
958408229,米静,17,7,2500
834637361,滕玉韵,29,2,4000
930801427,奚荣轩,17,6,2500
821240926,邢平,31,6,2500
687745827,宦熠彤,29,8,2500
872279997,元振海,11,2,4000
540209925,齐立轩,9,7,4000
812096431,瞿荣轩,27,6,4500
745270149,鱼心远,32,4,3000
93555040,连涛,17,2,4000
595243954,游理群,14,8,4500
197630608,水娟,25,6,3000
327229786,安敏博,20,8,2500
454226212,暴伟宸,30,4,3000
968941934,惠秀英,2,6,3000
130772924,许鹏涛,2,2,4000
455604773,余桂英,26,2,2500
370729085,宇文鹏煊,14,8,2500
333692354,竺向笛,11,4,3000
884567395,翟娟,14,3,3000
252069023,濮茂彦,23,8,2500
241245027,巫马咏德,3,3,4500
730580105,王明杰,15,3,3000
202913117,南宫建明,23,7,2500
500711083,毕勇,30,2,3000
48525273,蓬子轩,17,3,2500
2305066,慕浦泽,26,8,2500
986213418,那勇,19,7,2500
473603782,缑明达,5,6,2500
37354076,甄昊乾,15,2,4500
927532808,辛杰,21,4,2500
649061241,辛锐达,2,7,3000
