199342378,尚正,16
197067793,上官军,21
356106749,羊舌勇,6
994240167,樊擎宇,10
250229644,柏强,26
30063394,芮健柏,32
397719208,柴华奥,12
439049024,东圣杰,17
313949286,乐正金鑫,16
247696212,苗锐达,2
42901490,东门峻熙,17
513887367,元璞瑜,8
484174681,樊秀兰,14
518642049,那杰,3
315407675,巩煜城,17
555512015,禹建明,33
432842155,邢芳,10
339512558,郗良哲,32
488288392,哈玉韵,12
951761094,郗瑾瑜,11
104132967,鲁乐语,17
482503312,昝磊,31
563500784,漆雕秀英,12
240396122,隗力勤,29
361386644,倪芳,30
88104488,汝子轩,12
672512910,闽朋义,28
343653200,时良哲,29
47730759,益越彬,24
875621629,冯桂英,6
44723314,程博超,31
812129447,祖芳,26
879219517,嵇乐语,21
394449797,何强,5
945398001,谯伟,12
323702192,阴鸿煊,15
391032323,有哲瀚,21
782989716,佘心远,33
83461027,廉杰,10
648997892,符华奥,22
802789696,魏君昊,32
139789161,仲孙英韶,29
431856900,百里昊然,18
854498663,和锐达,28
158303912,韩蕴和,26
342939083,爱皓轩,28
189336194,段明达,28
667694193,谷烨磊,31
428087182,鞠彭泽,9
978948778,狄荣轩,27
742398613,柏旭尧,17
675757538,宇文德赫,11
439700050,梅英韶,7
961269414,牟苑博,11
959760234,桓乐语,8
370043119,史芳,4
521528922,花浩宇,20
431331467,齐绍祺,20
969094891,杭心远,7
983276046,熊泰宁,21
609840837,朱芳,3
641405812,衡　嘉懿,27
726932117,曾祺温,30
594621827,郝娟,2
276969932,黄娜,4
718794687,江越泽,6
197477178,钱宏恺,23
99896066,蒙天佑,20
690249295,钦军,18
504802696,荣志泽,18
804751271,甘炫明,30
359993912,习明,24
906808770,金杰,11
49634914,司徒静,18
14832801,公孙修为,19
150189576,宫鸿煊,14
148617190,富子轩,21
825812979,巫马天磊,11
441113908,广思源,32
436276001,鲜于圣杰,29
785156002,萧杰,23
297896436,师强,2
745368474,阎炫明,31
586020,孟敏博,5
677868171,厉力勤,25
155241376,滕凯安,2
831061282,胡泰宁,9
531755533,从祺祥,6
311034420,计同巍,34
277223759,终军,15
392710551,缑风华,28
976660390,卜理群,3
747987232,楚建辉,34
356800510,濮超,23
796248809,解俊驰,20
231278728,路天磊,34
909579644,衡丽,24
58476098,朱炎彬,2
520210263,廖奕伟,20
119300569,靳　嘉懿,20
973584891,狄军,34
630688513,上官丽,5
986204784,蒲军,10
73127167,赏奇邃,14
839210099,陆晟睿,27
30322904,楚静,14
549522908,平楷瑞,13
991472858,隆弘文3
590164983,鞠杰,32
848507197,公鸿煊,28
706847222,蔺振海,19
401101983,朱立诚,28
722734897,东光华,13
652039139,微生坚秉,16
207929855,崔溥心,7
297304578,宦鸿涛,31
582064757,雍晟睿,22
773739063,冀天佑,9
731727967,宫文虹,10
878534247,楚靖琪,33
970368469,漆雕荣轩,34
97718893,利伟,13
104871696,慎宏恺,22
825201989,和泽洋,24
255036335,柏浦泽,17
992002195,濮阳敏博,05
701472484,霍立辉,19
800940455,麹建明,3
512620697,和和安,25
241126283,苗熠彤,4
668161857,郁敏,20
476722894,有思源,13
296437724,荣祺温,25
625301919,益烨伟,31
966884182,幸伟祺,20
594041746,郤兴言,2
511031294,龚朋义,11
680402315,林泽洋,12
920348990,陶静,16
392922190,缑旭尧,30
616002661,那睿渊,12
154497512,明华灿,17
981182150,敖濮存,34
133865616,林良哲,21
964717174,窦伟祺,20
751846397,乐磊,5
825697053,栾理群,26
439889504,养自怡,2
510157705,夏伟,24
924203220,陶哲瀚,2
596840758,印皓轩,28
775648963,暴烨伟,10
380701492,勾文虹,32
731991384,单雨泽,19
188251851,柯天磊,18
565197253,墨经赋,17
942855524,松伟诚,6
154341998,花宇寰,18
872500340,裘智宸,2
228261064,萧煜祺,25
925993255,蓬祺温,20
677190736,苗雨泽,2
331462678,巫马涵润,13
786978307,潘雅昶,27
985892941,奚坚秉,15
532570856,龙锦程,24
245417049,郁开济,7
660865385,易国源,2
729386179,辛致远,30
599936753,耿泰宁,11
39828036,赏涵润,9
827351640,时靖琪,6
711682701,戚浦泽,29
711796521,廉圣杰,31
174921431,年明辉,2
678538975,寇伟宸,25
250945432,范力勤,34
931128355,明宏恺,18
493033865,亢季同,20
651914966,骆鸿涛,21
81447553,滑霞,13
287000197,步宇寰,12
612353688,冷伟泽,32
53567910,勾彭泽,20
887151230,公羊敏,19
467507577,法天佑,30
173053278,方濮存,33
427022940,齐俊驰,24
621805424,洪濮存,25
75590242,乐正俊明,08
902944974,熊鸿煊,19
349138035,公良子骞,33
229667869,关泰宁,14
253482897,黄娟,31
974676442,蒯黎昕,19
656569885,白心远,12
932714486,宰父靖琪,2
775501198,张良哲,19
975113140,杜静,8
822139219,郝军,19
