795852662,阙炎彬,16,教授
510013158,温靖琪,15,讲师
315097882,贝雨泽,14,副教授
483199408,屠自怡,05,教授
71999192,刘德赫,06,副教授
680842039,於咏德,05,讲师
275385317,曹绍辉,05,教授
781019519,樊鹏涛,11,讲师
977701346,公冶哲瀚,05,副教授
626569253,谷奕伟,16,教授
731024267,督咏德,06,副教授
951690823,国敏,12,副教授
386797561,汲鑫鹏,12,副教授
847852262,曾敏博,09,助教
337024695,公良昊然,11,讲师
757829555,裴擎宇,14,教授
238607481,党向笛,03,副教授
250596661,舒博超,13,助教
490530602,国皓轩,01,副教授
301664272,龙鑫鹏,03,助教
817750650,滑茂彦,15,副教授
85101447,席同巍,11,副教授
799888281,成英韶,07,助教
473495465,法茂彦,10,助教
32970477,霍致远,10,教授
186021056,祖伟祺,02,教授
466217556,印霞,02,教授
264982145,暨冠宇,16,助教
872789317,水晋鹏,05,副教授
786917009,糜璞瑜,06,教授
124941422,鄂荣轩,01,讲师
211751467,芮静,12,教授
103516258,邵秀英,01,教授
875555392,宗昊然,08,助教
504298514,屈晗昱,05,讲师
969085102,游伟泽,14,教授
256573744,伯子轩,13,讲师
92238723,岑向笛,02,讲师
661184705,公羊煜城,03,讲师
607443567,冷绍祺,14,副教授
27305258,广杰,11,副教授
553344181,充茂彦,04,助教
551738734,姬荣轩,06,助教
641348199,仰子骞,11,讲师
376370982,邓伟,15,助教
705872376,刘哲彦,16,讲师
284908616,单于力勤,07,副教授
75647563,赫连阳曦,14,助教
887534081,暴擎宇,14,教授
386194010,邵浦泽,11,讲师
591804980,羊军,12,讲师
867453228,尉迟旭尧,01,讲师
292085306,齐智宸,14,教授
667314440,经晗昱,07,助教
821967950,佘超,11,讲师
160037848,赏天磊,03,教授
520349228,董磊,10,讲师
833859280,苍立轩,03,副教授
149744771,吴锐达,13,讲师
446745860,岳越彬,05,副教授
184660116,龙伟诚,06,教授
922616170,楮修洁,06,助教
639795371,史哲瀚,16,教授
468475225,郁子轩,08,教授
35891839,梁丘哲彦,08,教授
708851952,余正志,12,讲师
380313599,满浩博,05,教授
137546459,谢濮存,02,副教授
667070114,席翰海,14,教授
804755964,毛天佑,07,教授
45872094,陶娟,04,讲师
113782742,归荣轩,16,讲师
562792108,伊涵润,08,副教授
666243854,仰明达,05,副教授
998869053,单敏博,14,助教
835383172,金祺温,13,讲师
512122677,赵永贞,01,助教
777988944,蒯军,05,副教授
379375240,赵开济,09,副教授
827678361,楚俊驰,03,副教授
415332284,糜强,11,助教
103930523,解远航,14,副教授
567750712,益靖琪,13,教授
977116269,凌子晋,09,副教授
621287060,席静,09,副教授
51642210,锺离伟泽,01,教授
932719809,鄂煜祺,02,讲师
165833014,姬翰飞,09,讲师
132496575,凤天佑,16,教授
703825090,成志泽,12,副教授
899664327,滑正豪,09,助教
213922185,琴弘文,06,助教
308770018,公立轩,04,副教授
918824583,夏侯英韶,06,教授
89714726,孟朋义,05,教授
472022976,彭兴言,12,副教授
88127395,侯霞,11,教授
94451241,甄奇邃,09,助教
589789164,司马昊然,09,助教
646106327,黄敏博,05,副教授
225056983,祖兴言,07,讲师
925519929,衡嘉慕,04,副教授
317051302,秦自怡,06,助教
519345142,巫阳曦,07,助教
621406062,贡蕴和,12,教授
365403733,卓瑾瑜,01,副教授
938327236,翁芳,11,副教授
162713138,张国源,06,讲师
494137149,訾秀英,08,助教
225532104,胡磊,02,讲师
895842902,翁天佑,07,副教授
996464166,太叔靖琪,06,副教授
886876996,万荣轩,05,助教
414145420,景炎彬,07,教授
775213233,喻静,08,教授
678902291,卫瑾瑜,03,助教
888631465,南宫磊,10,副教授
726751128,岑烨熠,07,教授
529934752,糜光华,16,副教授
256859919,卢雨泽,01,讲师
873234167,訾俊驰,13,助教
355609376,丰鹏煊,16,讲师
948703783,段干彭泽,15,助教
314059825,邵明辉,07,副教授
117042259,梁艳,06,助教
884208629,赖强,06,讲师
217702413,钱玉韵,06,副教授
999044340,仲孙奕伟,04,讲师
290088499,查伟诚,01,副教授
475075024,崔强,05,助教
489564925,柳朋义,03,讲师
803612769,子车华灿,10,副教授
547343041,水雪风,16,讲师
245391672,常哲瀚,13,讲师
24057810,隗靖琪,11,讲师
795716187,厍俊驰,09,教授
271934955,邬季同,08,教授
454786910,相智宸,09,讲师
712576338,支茂彦,14,讲师
687516241,法坚秉,06,助教
941127550,伏鹤轩,16,讲师
103283711,经明轩,14,副教授
639381559,丌官泽洋,11,副教授
639822587,王杰,09,教授
98538060,解绍辉,14,助教
854784826,邢兴言,09,讲师
767071440,米文虹,09,副教授
68381589,贺秀英,11,副教授
22536527,慕容娟,03,教授
862601206,谯同巍,01,教授
862100336,卜楷瑞,16,讲师
925496011,乐正鹏涛,13,讲师
380954741,幸杰,16,讲师
78414260,叶浩博,01,助教
398231629,能睿渊,06,讲师
982214417,古星阑,14,副教授
956181139,家浩博,09,助教
974694907,麹旭尧,08,讲师
391627850,佘乐语,13,教授
531835492,连强,06,教授
412412917,季鹏举,01,教授
302985651,段干伟,14,副教授
930853911,涂开济,16,讲师
674731274,沈烨熠,07,教授
58281696,仉鹤轩,05,助教
546584325,闻明轩,03,助教
568388578,何风华,08,副教授
927500886,乌雅昶,07,讲师
633265041,东方越泽,06,副教授
106051343,双文昊,14,讲师
737310184,吴哲彦,07,教授
326223597,费子轩,02,助教
